№,№,ID ,Scientific name,Russian name,Uzbek name,English name,IUCN  status (2025-1),Uzbekistan Red Data Book (2019),CITES,Endemism,Andijan region,Fergana region,Namangan region,Tashkent region,Syrdarya region,Jizzak region,Samarkand region,Kashkadarya region,Surkhandarya region,Bukhara region,Navoi region,Khorezm region,Karakalpakstan
30,32,,"Asymblepharus alaicus (Elpatjevsky, 1901)",Алайский ложный гологлаз,Олой тақиркўзлиси,Alai Ground Skink,LC,,,"UZ, TJ, KZ, KG,CN",,,Х,Х,,,,Х,Х,,,,
,"32,1",,Ablepharus alaicus yakovlevae (EREMCHENKO 1983) ,Гологлаз Яковлевой,Яковлева тақиркўзлиси,             -,,,,"UZ, TJ, KZ, KG",,,Х,Х,,,,Х,Х,,,,
31,33,,"Eumeces schneideri (Daudin, 1802)",Длинноногий сцинк ,Узуноёқ сцинк ,Schneider's Skink,LC,,,,,,,Х,Х,Х,Х,Х,Х,,Х,,
"31,1","33,1",0033062763,Eumeces schneiderii princeps (EICHWALD 1839),Длинноногий сцинк ,Узуноёқ сцинк ,Schneider's Skink,,,,,,,,Х,Х,Х,Х,Х,Х,,Х,,
32,34,0033052733,"Eremias arguta Pallas,1773",Разноцветная ящурка ,Ранг-баранг калтакесакча,Steppe Racerunner,LC,,,,Х,Х,Х,Х,Х,Х,Х,Х,,Х,Х,,Х
"32,1","34,1",,"Eremias arguta arguta Pallas,1773",Разноцветная ящурка ,Ранг-баранг калтакесакча,Steppe Racerunner,LC,,,,,,,,,,,,,,,,Х
"32,2","34,2",,Eremias arguta uzbekistanica CHERNOV 1934 ,Узбекистанская разноцветная ящурка,Ранг-баранг калтакесакча,,LC,,,,Х,Х,Х,Х,Х,Х,Х,Х,,Х,Х,,
33,35,0033052743,"Eremias grammica (Lichtenstein, 1823)",Сетчатая ящурка ,Тўр  калтакесакча,Reticulate Racerunner,LC,,,,,,,,,Х,,Х,Х,Х,Х,Х,Х
34,36,,"Eremias intermedia (Strauch, 1876)",Средняя ящурка ,Ўртача калтакесакча,Aralo-Caspian Racerunner,LC,,,,,,,,,,Х,Х,,Х,Х,Х,Х
35,37,,"Eremias lineolata (Nikolsky, 1897)",Линейчатая ящурка ,Чизиқли калтакесакча,Striped Racerunner ,LC,,,"UZ, TJ, TM, KZ, IR, AF",,,,,,,,Х,Х,Х,Х,Х,Х
36,38,0033050271,"Eremias nigrocellata Nikolsky, 1896",Черноглазчатая ящурка ,Қоракўзчали калтакесакча,Black-Ocellated Racerunner ,LC,2(VU:D),,"UZ, TJ, TM, IR, AF",,,,,,,,,Х,,,,
37,39,,"Eremias nikolskii Nikolsky, 1905",Ящурка Никольского ,Никольский калтакесакчаси,Kirgiz Racerunner,LC,,,"UZ, TJ, KG",,,Х,Х,,,,,,,,,
38,40,,"Eremias regeli Nikolsky, 1905",Таджикская ящурка ,Тожик калтакесакчаси ,Tajik Racerunner,LC,,,"UZ, TJ, TM, AF",,,,,,,,Х,Х,,,,
39,41,,"Eremias scripta (Strauch, 1867)",Полосатая ящурка ,Тарғил калтакесакча,Sand Racerunner ,LC,,,,Х,Х,Х,,,Х,,Х,Х,Х,Х,Х,Х
"39,1","41,1",,"Eremias scripta scripta (Strauch, 1867)",Полосатая ящурка ,Тарғил калтакесакча,Sand Racerunner ,LC,,,,Х,Х,Х,,,Х,,Х,Х,Х,Х,Х,Х
